iter	RMSE
275	12088.4898
276	12078.75865
277	12073.03122
278	12065.36572
279	12059.9795
280	12054.25291
281	12046.95926
282	12038.06101
283	12030.01454
284	12020.70648
285	12010.97763
286	12005.0775
287	11996.08768
288	11988.53079
289	11982.85477
290	11975.55072
291	11965.761
292	11959.10429
293	11952.1392
294	11944.31633
295	11935.70877
296	11928.187296297	11922.912297298	11911.8298	1299	11905.0299	1300	11895.0300	1301	11888.301	11302	11878.302	11303	11871.303	11304	11862.304	11305	11855.305	11877.24572
306	1307	11831.9307	1308	11818.8308	1309	11811.7309	1310	11802.66403
311	11796.8311	312	11789.14571
313	11781.14313	314	11774.30411
315	11768.55772
316	11761.35316	317	11751.40317	318	11746.3318	1319	11735.319	11320	11726.320	11321	11722.321	11322	11714.322	11323	11706.323	1324	11698.5324	1325	11691.8325	1326	11687.2326	327	11679.75327	328	11673.09328	329	11665.60329	330	11660.94330	331	11653.84331	332	11648.2332	11670.65126
333	11664.04404
334	11656.51678
335	1336	11617.1336	11643.25697
337	11634.22524
338	116339	11579339	134340	11571340	116341	11565341	13342	11560.342	13343	11551.343	11344	11538.344	11345	11530.345	11346	11521.346	11347	11514.347	1348	11508.8348	1349	11498.349	11350	11492.350	11351	11485351	115352	11474352	115353	1146353	11516.26029
354	115355	11453355	114356	11447356	114357	11439357	114358	11433358	114359	11425359	114360	11417360	114361	1141361	1144362	1140362	1143363	113363	11426364	113364	11419365	113365	11412366	11366	11401.367	11367	11392368	113368	11382369	113369	11377370	113370	11372371	11345.40466
372	113372	11359373	11325.12095
374	11311.04615
375	11375	11341.376	11376	11331.33212
377	11321.52231
378	11313.58176
379	11306.65745
380	11302.92391
381	11295.84009
382	11290.24467
383	11281.5967
384	11272.88928
385	11265386	112386	11260387	113387	11256.043323388	11248.469783389	1124390	1123390	11391	111943391	11392	11187.392	11393	11183.393	11394	11173.394	11203.69191
395	11196.5149
396	111397	1397	397	111398	1398	398	111399	1399	399	111400	1400	11144.1401	1401	401	111402	1402	402	111403	1403	403	111404	1404	404	11141.86405	405	11131.45849
406	11126.10138
407	11117.58673
408	11111.5649
409	11102.01209
410	11095.79886
411	11087.79446
412	11077.413	11413	11067.414414414	11062.415	11415	11416	416	11416	11417	417	11417	11418	418	11032.70419	419	11027.56420	420420	11020.822421421	11013.894422422	11008.147423423	11002.365424424	10999.843425425	10995.40561
426	10990.37148
427	10978.94372
428	10970.11655
429	10963.06327
430	10957.67343
431	10950.08645
432	10943.51595
433	10936.99396
434	10931.69625
435	10922.39911
436	10914.47634
437	10910.88087
438	10905.25886
439	10896.78488
440	10891.14497
441	10887.85527
442	10880.54896
443	10872.2023
444	10864.37114
445	10857.71802
446	10852.31482
447	10844.99445
448	10841.22829
449	10834.17107
450	10828.64772
451	10821.18217
452	10816.82907
453	10810.12321
454	10804.18603
455	10801.46864
456	10790.97723
457	10785.15935
458	10778.58668
459	10775.67558
460	10766.61993
461	10759.94633
462	10754.06388
463	10750.0708
464	10741.83357
465	10736.5783
466	10729.4013
467	10725.79673
468	10715.29543
469	10707.70998
470	10697.23932
471	10693.27904
472	10687.20334
473	10680.87397
474	10671.67165
475	10665.54105
476	10657.94809
477	10650.43636
478	10643.21793
479	10633.45901
480	10627.66777
481	10622.968
482	10617.30786
483	10613.73882
484	10606.62728
485	10601.37831
486	10596.12128
487	10589.07606
488	10583.35669
489	10572.05139
490	10567.1838
491	10557.12137
492	10551.36713
493	10544.87151
494	10537.28245
495	10532.66287
496	10527.94681
497	10517.25483
498	10511.73943
499	499	10525.31500	500	10521.68501	501	10513.43771
502	10507.26503	503	10502.66953
504	10496.85163
505	10485.39321
506	10482.18686
507	10477.07544
508	10471.83227
509	10465.12235
510	10458.94563
511	10450.13441
512	10447.10965
513	10440.03795
514	10437.48606
515	10430.63516	516	10425.72517	517	10417.52518	518	10411.97929
519	10408.62961
520	10403.24008
521	10394.31826
522	10386.88978
523	10381.56428
524	10378.28287
525	10373.5526	526	10366.45527	527	10360.26054
528	10355.61194
529	10349.31966
530	10343.1077
531	10336.80876
532	1533	10304.1533	10322.55561
534	10316.80735
535	10308.84097
536	1537	10282.8537	1538	1027538538	1539	10273.9539	1540	10268.0540	541	10258.27541	542	10252.16542	10281.06577
543	10273.79493
544	10265.68916
545	10258.59181
546	10251.5207
547	10244.48054548	10238.379654549	10230.823755550	10223.38787
551	10215.2515
552	10209.52734
553	10204.533554554	10198.49505
555	10195.94524
556	10191.2637
557	10185.85558	558	10180.72559	559	10173.5560	1560	10169.9561	1561	10162.73983
562	10159.4868
563	10153.1387
564	10148.05997
565	10137.53417
566	10132.36609
567	10127.8447
568	10120.49196
569	10116.74397
570	10110.18072
571	10104.35789
572	10101.08464
573	10095.45649
574	10090.74329
575	10087.92605
576	10082.19915
577	10076.89193
578	10069.83029
579	10065.51319
580	10058.13513
581	10052.02051
582	10045.92063
583	10037.30205
584	10029.31496
585	10024.38368
586	1587	10008.4587	1588	10004.4588	1589	10000.589	10001.31909
590	9995.937964
591	9989.231345
592	9982.352942
593	99594	9972.8594	99595	9965595	9970596	9960596	9963597	9956597	9956598	9948.320475
599	9944.322621
600	9940.51199
601	9933.962207
602	9929.393082
603	9922.846078
604	9918.479275
605	9910.297245
606	9902.634852
607	9896.255524
608	9892.528453
609	9888.000505
610	9881.28047
611	9878.151212
612	9873.135884
613	9867.310365
614	9862.841534
615	9856.281419
616	9850.294484
617	9842.453457
618	9836.870978
619	9830.905802
620	9824.430415
621	9819.264024
622	9813.350847
623	9808.128565
624	9801.123642
625	9795.259416
626	9790.384852
627	9783.985942
628	9776.740621
629	9772.219357
630	9766.338094
631	9758.033865
632	9753.96308
633	9744.860997
634	9736.561386
635	9730.151516
636	9723.895585
637	9721.265466
638	9716.701024
639	9710.607955
640	9705.992144
641	9700.370734
642	9694.030914
643	9687.579857
644	9683.127191
645	9678.501245
646	9672.74264
647	9668.451327
648	9662.946334
649	9654.917284
650	9649.603478
651	9640.549075
652	9635.948969
653	9632.317313
654	9626.774091
655	9620.364886
656	9613.732405
657	9608.876634
658	9604.854534
659	9599.973577
660	9594.49792
661	9590.197816
662	9584.565077
663	9578.636712
664	9576.045751
665	9568.837904
666	9564.001335
667	9558.352335
668	9553.783136
669	9547.687643
670	9543.563946
671	9539.128603
672	9531.266496
673	9524.463004
674	9517.309691
675	9511.193237
6676	9541.6942796677	9534.8616066678	9525.7373826679	9519.7911476680	9514.5073356681	9511.5009476682	9503.6252496683	9497.0388636684	9490.458826
685	9484.5108
686	9479.53052
687	9475.809135
688	9473.180542
689	9470.162289
690	9464.978446
691	9459.013006
692	9455.924343
693	9418.481141
694	9414.319263
695	9406.706866
696	9399.622574
697	9430.53436
698	9426.040642
699	9421.345903
700	9417.496391
701	9411.835681
702	9406.090042
703	9403.49741
704	9400.204935
705	9395.88115
706	9390.031753
707	9388.029774
708	9382.275155
709	9377.162723
710	9370.936729
711	9367.311291
712	9362.553515
713	9356.313563
714	9351.936364
715	9344.433389
716	9339.571807
717	9334.178374
718	9326.907519
719	9321.590027
720	9315.51293
721	9309.608151
722	9303.718037
723	9297.65761
724	9291.560383
725	9285.725092
726	9284.256041
727	9278.150993
728	9270.252214
729	9265.699163
730	9257.85909
731	9251.379123
732	9248.978378
733	9244.562936
734	9237.763384
735	9232.448427
736	9228.312232
737	9221.600382
738	9217.899856
739	9212.36926
740	9206.006649
741	9198.61483
742	9192.428498
743	9186.016067
744	9180.733927
745	9175.48597
746	9169.233993
747	9165.351824
748	9159.686
749	9153.348582
750	9150.349151
751	9147.033097
752	9141.741537
753	9137.862305
754	9133.819465
755	9130.696679
756	9126.93279
757	9122.644892
758	9118.730589
759	9112.915672
760	9105.221057
761	9101.037475
762	9095.853846
763	9093.104845
764	9090.529353
765	9084.883579
766	9081.528232
767	9074.759015
768	9070.984062
769	9063.846011
770	9055.350906
771	9051.65616
772	9048.5345
773	9042.667814
774	9036.423797
775	9031.714727
776	9028.494791
777	9021.402182
778	9017.634177
779	9012.196408
780	9007.844575
781	9002.582638
782	8996.059314
783	8991.064622
784	8985.080918
785	8980.736616
786	8977.448757
787	8971.834477
788	8964.996543
789	8961.958625
790	8957.010064
791	8953.428862
792	8951.033575
793	8947.37371
794	8944.022724
795	8941.776786
796	8940.362087
797	8935.030149
798	8933.234628
799	8929.398718
800	8923.275304
801	8917.271762
802	8913.215235
803	8910.693257
804	8905.21493
805	8901.595805
806	8895.469508
807	8889.178017
808	8885.057892
809	8877.573085
810	8870.834305
811	8867.388949
812	8862.345931
813	8858.689434
814	8854.180687
815	8849.123344
816	8844.581215
817	8838.429583
818	8834.326604
819	8828.601232
820	8822.943245
821	8816.627918
822	8814.817481
823	8809.4556
824824	8738.9964825	8802.031731
826	8797.264441
827	8791.635531
828	8788.142824
829829	8702.9236830830	8697.9546831831	8692.8199832832	8688.0369833833	8681.8612834834	8679.04038835	8674.0246668836	8670.0069878837	8667.5465948838	8661.8370428839	8657.4323468840	8651.872803
841	8649.627598
842	8645.398692
843	8641.055288
844	8634.818782
845	8631.67061
846	8626.479661
847	8622.833487
848	8618.624202
849	8614.969692
850	8610.935462
851	8606.914465
852	8603.236528
853	8600.743176
854	8597.499505
855	8593.141363
856	8589.835318
857	8586.295937
858	8579.730749
859	8576.655118
860	8571.982843
861	8567.761757
862	8563.262338
863	8558.501703
864	8552.562224
865	8549.872917
866	8545.044982
867	8537.618618
868	8531.740622
869	8526.457225
870	8521.778775
871	8518.114004
872	8514.82983
873	8507.970561
874	8504.335209
875	8498.069746
876	8494.06603
877	8490.318377
878	8485.57482
879	8478.637942
880	8475.662479
881	8472.481288
882	8469.832919
883	8464.82802
884	8460.054603
885	8456.570692
886	8453.463786
887	8450.276742
888	8445.660248
889	8439.517485
890	8436.056203
891	8429.054281
892	8426.921267
893	8423.39719
894	8419.253561
895	8415.65497
896	8409.17676
897	8403.148033
898	8397.070355
899	8392.556589
900	8389.236417
901	8386.277012
902	8383.158743
903	8379.765771
904	8376.052881
905	8371.812973
906	8365.79271
9907	8442.6192459908	8438.5784349909	8433.9980189910	8430.6870039911	8425.8539459912	8421.6837379913	8417.111468
914	8412.310558
915	8409.455108
916	8404.7304991917	8401.2668691918	8394.5024891919	8392.6899892920	8388.18473921	8298.87955
922	8297.377745
923	8289.541472
92924	8369.7567092925	8365.5121926926	8359.6102927927	8356.2161928928	8353.2708929929	8351.2892930930	8348.9345931931	8345.2190932932	8341.5809933933	8336.7123934934	8333.4809935935	8330.5174936936	8326.7130937937	8323.889369
938	8321.705012
939	8315.492125
940	8312.118881
941	8303.300052
942	8299.920748
943	8293.740602
944	8290.990218
945	8286.646866
946	8280.258077
947	8277.062891
948	8273.101688
949	8269.957123
950	8265.317102
951	8260.320922
952	8256.514824
953	8255.135486
954	8253.188261
955	8250.313654
956	8245.227356
957	8240.494753
958	8237.022914
959	8234.515953
960	8232.905629
961	8228.579121
962	8222.968503
963	8218.803388
964	8211.859336
965	8208.905008
966	8206.280266
967	8202.193765
968	8199.212804
969	8195.752232
970	8190.059184
971	8187.666239
972	8185.796571
973	8181.885693
974	8178.108091
975	8171.637479
976	8169.871527
977	8165.77328
978	8161.208801
979	8155.571273
980	8151.805483
981	8147.433131
982	8140.740098
983	8135.582086
984	8131.626149
985	8127.834469
986	8124.83434
987	8119.16829
988	8116.198287
989	8113.26348
990	8109.538848
991	8107.40209
992	8103.49996
993	8099.286622
994	8094.456795
995	8092.031739
996	8090.283519
997	8086.541219
998	8081.949806
999	8080.36522
732
5975
91
3
